ticker,company_name,industry,listing_date,market,source_name,source_file,data_as_of,table_grain
1339,昭輝實業股份有限公司,汽車工業,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1340,勝悅新材料有限公司,塑膠工業,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1341,富林塑膠工業(開曼)控股(股)公司,塑膠工業,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1342,八貫企業股份有限公司,其他,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1402,遠東新世紀股份有限公司,紡織纖維,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1409,新光合成纖維股份有限公司,紡織纖維,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1410,南洋染整股份有限公司,紡織纖維,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1413,宏洲纖維工業股份有限公司,紡織纖維,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1414,東和紡織股份有限公司,紡織纖維,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1416,廣豐實業股份有限公司,其他,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1417,嘉裕股份有限公司,紡織纖維,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1418,東華龍股份有限公司,紡織纖維,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1419,新光紡織股份有限公司,紡織纖維,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1423,利華羊毛工業股份有限公司,紡織纖維,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1432,大魯閣實業股份有限公司,其他電子業,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1434,福懋興業股份有限公司,紡織纖維,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1435,中福國際(股)公司,其他,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1436,華友聯開發股份有限公司,建材營造,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1437,勤益投資控股股份有限公司,其他,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1438,三地開發地產股份有限公司,建材營造,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1439,雋揚國際股份有限公司,建材營造,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
