ticker,market_cap,roe,eps,revenue,net_income,total_equity,operating_cf,free_cash_flow,source_name,source_file,data_as_of,table_grain
3105,0,0.0,0.0,0.0,0.0,,,,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
3665,487400013824,0.21736,46.34,71247273984.0,9005366272.0,46634452000.0,8595400000.0,4875152000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
50,0,0.0,0.0,0.0,0.0,,,,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1802,197748146176,-0.0139,-0.2,41494380544.0,-590329024.0,47600469000.0,2417788000.0,-2286652000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
6531,169216327680,0.13332,7.7,6791489024.0,1602690048.0,12242597000.0,2852558000.0,2797298000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
4966,0,0.0,0.0,0.0,0.0,,,,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
4919,69680988160,-0.11568,-3.96,30492418048.0,-1664643968.0,13117836000.0,-289575000.0,-1642281000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
3450,64245317632,0.16677,4.99,8584593920.0,729803008.0,5063491000.0,1526321000.0,-299460000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
3006,61429923840,0.0239,0.88,14575271936.0,245124992.0,10287062000.0,1502209000.0,953250000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
8358,0,0.0,0.0,0.0,0.0,,,,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
