ticker,pe_ratio,pb_ratio,dividend_yield,source_name,source_file,data_as_of,table_grain
3481,1183.33,1.28,2.82,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
3533,39.85,8.15,1.25,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
3583,64.54,10.01,0.63,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
3653,109.01,25.19,0.56,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
3661,77.83,10.03,0.65,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
3665,60.09,11.6,0.54,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
3711,51.53,6.95,1.19,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
3714,0.0,1.3,1.22,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
4904,25.07,3.74,3.99,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
4919,0.0,5.75,0.22,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
4958,57.4,3.46,0.85,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
5269,21.02,3.16,2.95,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
6139,22.4,8.22,3.38,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
6213,69.8,4.92,1.05,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
6239,26.96,2.87,1.99,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
6257,31.39,4.65,2.0,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
6278,24.49,2.79,2.56,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
6285,41.59,3.9,1.52,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
6415,74.57,4.95,0.54,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
6442,83.37,21.67,0.62,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
6451,1755.77,7.43,0.08,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
6515,214.35,55.64,0.5,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
6531,107.22,14.54,0.66,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
6669,19.41,7.68,2.85,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
6770,35.08,2.73,0.0,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
6781,33.64,6.53,1.49,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
6789,127.74,9.99,0.51,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
6805,47.22,17.09,0.68,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
7769,99.99,21.3,0.95,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
8021,172.08,13.89,0.42,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
8046,190.68,12.45,0.22,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
8150,73.73,2.48,1.41,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
8210,45.95,15.4,0.9,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
8996,116.96,23.25,0.43,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
9910,15.91,2.71,5.58,shared_data.valuation,D:\Claude projects\主觀看盤\data\fundamentals\valuation.csv,2026-05-14T18:13:20+00:00,snapshot
