ticker,company_name,industry,listing_date,market,source_name,source_file,data_as_of,table_grain,market_cap
6257,矽格股份有限公司,其他電子業,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot,101501640704
6213,聯茂電子股份有限公司,28,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot,99434266624
2377,微星科技股份有限公司,文化創意,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot,97580892160
2492,華新科技股份有限公司,28,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot,96960954368
1476,儒鴻企業股份有限公司,紡織纖維,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot,95754117120
2467,志聖工業股份有限公司,28,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot,95698305024
8996,高力熱處理工業股份有限公司,電機機械,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot,95209619456
1717,長興材料工業股份有限公司,化學生技醫療,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot,94248542208
1560,中國砂輪企業股份有限公司,電機機械,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot,93235838976
3583,辛耘企業股份有限公司,其他電子業,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot,77614235648
1229,聯華實業控股股份有限公司,食品工業,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot,72085495808
9910,豐泰企業股份有限公司,其他電子業,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot,70703767552
4919,新唐科技股份有限公司,其他電子業,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot,69680988160
8021,尖點科技股份有限公司,電腦周邊,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot,64688939008
3450,聯鈞光電股份有限公司,其他電子業,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot,64245317632
3006,晶豪科技股份有限公司,其他電子業,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot,61429923840
8150,南茂科技股份有限公司,其他電子業,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot,59458248704
6278,台灣表面黏著科技股份有限公司,農業科技,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot,59386503168
2441,超豐電子股份有限公司,其他電子業,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot,55348719616
1795,美時化學製藥股份有限公司,電子通路,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot,54007414784
3714,富采控股股份有限公司,農業科技,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot,51566067712
6451,訊芯科技控股股份有限公司,其他電子業,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot,50751078400
3035,智原科技股份有限公司,其他電子業,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot,50546761728
